Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes,Distance_miles,Days,Days_encoded,Work_or_Weekend,Hours Sleep,Sleep efficiency,Yesterday_sleep,Yesterday_sleep_efficiency,Months,Months_encoded
4/19/2016,3596,17232,13.61,17,1.002,262,4,88,2085,0,0,0,0,8.45685931,Tuesday,1,1,0,0,5.116666667,91.64179104,April,4
4/20/2016,3321,16946,12.93,25,762,238,5,67,1795,411,31,17,442,8.03432703,Wednesday,2,1,6.85,92.98642534,0,0,April,4
4/21/2016,3464,19183,14.67,24,723,218,7,97,1964,341,27,17,368,9.11551257,Thursday,3,1,5.683333333,92.66304348,6.85,92.98642534,April,4
4/22/2016,3328,12963,9.66,10,404,436,14,10,202,430,62,39,492,6.00244386,Friday,4,1,7.166666667,87.39837398,5.683333333,92.66304348,April,4
4/23/2016,2612,6456,4.8,6,782,305,0,0,1135,305,42,28,348,2.9825808,Saturday,5,0,5.083333333,87.64367816,7.166666667,87.39837398,April,4
4/24/2016,2863,10413,7.73,6,700,269,28,24,1411,375,56,31,431,4.80319783,Sunday,6,0,6.25,87.00696056,5.083333333,87.64367816,April,4
4/25/2016,3175,10499,7.8,0,661,430,9,4,1805,237,28,14,265,4.8466938,Monday,0,1,3.95,89.43396226,6.25,87.00696056,April,4
4/26/2016,3357,17226,12.97,19,751,185,16,95,1798,360,20,10,380,8.05918187,Tuesday,1,1,6,94.73684211,3.95,89.43396226,April,4
4/27/2016,3631,19784,15.51,25,694,151,26,128,207,361,49,27,410,9.63746421,Wednesday,2,1,6.016666667,88.04878049,6,94.73684211,April,4
4/28/2016,403,25571,19.3,15,606,293,42,129,2711,374,56,34,430,11.9924603,Thursday,3,1,6.233333333,86.97674419,6.016666667,88.04878049,April,4
4/29/2016,3442,17528,13.36,15,594,239,8,82,1931,348,20,9,368,8.30151656,Friday,4,1,5.8,94.56521739,6.233333333,86.97674419,April,4
4/30/2016,3061,9831,7.3,1,561,414,0,0,1651,454,48,27,502,4.5360083,Saturday,5,0,7.566666667,90.43824701,5.8,94.56521739,April,4
5/1/2016,3331,14262,10.6,5,666,361,21,41,1937,347,41,20,388,6.5865326,Sunday,6,0,5.783333333,89.43298969,7.566666667,90.43824701,May,5
5/2/2016,2989,13236,9.98,12,770,234,8,38,1477,314,34,23,348,6.20128258,Monday,0,1,5.233333333,90.22988506,5.783333333,89.43298969,May,5
5/3/2016,3796,18588,14.13,16,599,275,49,79,236,377,33,18,410,8.77997223,Tuesday,1,1,6.283333333,91.95121951,5.233333333,90.22988506,May,5
5/4/2016,3525,16382,12.39,16,684,333,10,55,2075,406,21,8,427,7.69878669,Wednesday,2,1,6.766666667,95.08196721,6.283333333,91.95121951,May,5
5/5/2016,3649,21913,16.4,19,701,287,29,90,2249,280,35,15,315,10.1904844,Thursday,3,1,4.666666667,88.88888889,6.766666667,95.08196721,May,5
5/6/2016,3539,19023,14.79,15,575,298,8,85,2112,370,42,22,412,9.19007709,Friday,4,1,6.166666667,89.80582524,4.666666667,88.88888889,May,5
5/7/2016,304,9526,7.08,2,564,370,13,10,1604,502,57,31,563,4.39930668,Saturday,5,0,8.366666667,89.1651865,6.166666667,89.80582524,May,5
